specimen,landmark,x,y
LACM ENT 463041_L.jpg,1,823.8863454,273.418761
LACM ENT 463041_L.jpg,2,766.5756363,321.912438
LACM ENT 463041_L.jpg,3,643.1371858,368.2018569
LACM ENT 463041_L.jpg,4,612.2775732,396.8572115
LACM ENT 463041_L.jpg,5,469.0008004,392.4486954
LACM ENT 463041_L.jpg,6,457.9795102,416.6955339
LACM ENT 463041_L.jpg,7,594.6435089,260.1932127
LACM ENT 463041_L.jpg,8,588.0307348,185.2484393
LACM ENT 463041_L.jpg,9,610.0733152,163.2058588
LACM ENT 463054_L.jpg,1,828.0376501,244.6182808
LACM ENT 463054_L.jpg,2,786.4938691,302.3179766
LACM ENT 463054_L.jpg,3,664.1705138,355.4016968
LACM ENT 463054_L.jpg,4,634.166672,390.0215143
LACM ENT 463054_L.jpg,5,495.687402,390.0215143
LACM ENT 463054_L.jpg,6,470.2995358,410.7934048
LACM ENT 463054_L.jpg,7,615.7027693,251.5422443
LACM ENT 463054_L.jpg,8,601.8548423,173.0706579
LACM ENT 463054_L.jpg,9,624.9347207,152.2987674
LACM ENT 463057_L.jpg,1,979.6409258,527.611152
LACM ENT 463057_L.jpg,2,923.3968438,564.1698054
LACM ENT 463057_L.jpg,3,740.6035771,581.04303
LACM ENT 463057_L.jpg,4,687.1716991,609.165071
LACM ENT 463057_L.jpg,5,518.4394529,552.920989
LACM ENT 463057_L.jpg,6,490.3174119,575.4186218
LACM ENT 463057_L.jpg,7,712.481536,426.3718043
LACM ENT 463057_L.jpg,8,734.9791689,322.3202525
LACM ENT 463057_L.jpg,9,774.3500263,305.4470279
LACM ENT 463059_L.jpg,1,740.1369805,394.6611257
LACM ENT 463059_L.jpg,2,683.6372436,422.9109942
LACM ENT 463059_L.jpg,3,548.9071015,433.7763282
LACM ENT 463059_L.jpg,4,505.4457654,453.3339295
LACM ENT 463059_L.jpg,5,392.4462914,412.0456602
LACM ENT 463059_L.jpg,6,372.8886902,422.9109942
LACM ENT 463059_L.jpg,7,546.7340347,325.1229879
