specimen,landmark,x,y
UCSB-IZC00044727_L.jpg,1,550.5674958,79.27058163
UCSB-IZC00044727_L.jpg,2,556.5209276,130.8669908
UCSB-IZC00044727_L.jpg,3,485.0797457,196.354741
UCSB-IZC00044727_L.jpg,4,477.1418365,226.1219001
UCSB-IZC00044727_L.jpg,5,377.9179727,249.9356275
UCSB-IZC00044727_L.jpg,1,548.215667,77.9374049
UCSB-IZC00044727_L.jpg,2,558.064377,135.059922
UCSB-IZC00044727_L.jpg,3,485.183924,198.091665
UCSB-IZC00044727_L.jpg,4,473.365472,227.637795
UCSB-IZC00044727_L.jpg,5,376.848116,251.274698
UCSB-IZC00044727_L.jpg,6,339.423018,292.63928
UCSB-IZC00044727_L.jpg,7,394.575794,121.271728
UCSB-IZC00044727_L.jpg,8,378.817858,77.9374049
UCSB-IZC00044727_L.jpg,9,380.7876,50.3610173
